name,districtId,createdAt,updatedAt
LARTEBIOKORSHIE,1,11/26/2022 13:16,11/26/2022 13:16
PIPEANA,1,11/26/2022 13:16,11/26/2022 13:16
Market Area,1,11/26/2022 13:16,11/26/2022 13:16
JT area,1,11/26/2022 13:16,11/26/2022 13:16
ABOSSEY OKAI,1,11/26/2022 13:16,11/26/2022 13:16
SHUKURA STATION,1,11/26/2022 13:16,11/26/2022 13:16
ZONGO JUNCTION,1,11/26/2022 13:16,11/26/2022 13:16
APPIAH DANQUAH,1,11/26/2022 13:16,11/26/2022 13:16
RADIO GOLD,1,11/26/2022 13:16,11/26/2022 13:16
SALVATION,1,11/26/2022 13:16,11/26/2022 13:16
Borla junction,1,11/26/2022 13:16,11/26/2022 13:16
BLACKSMITH,1,11/26/2022 13:16,11/26/2022 13:16
TANGASI LINE,1,11/26/2022 13:16,11/26/2022 13:16
AGOGO,1,11/26/2022 13:16,11/26/2022 13:16
SAKOA PRESS,1,11/26/2022 13:16,11/26/2022 13:16
NKRUMAH FLAT,1,11/26/2022 13:16,11/26/2022 13:16
SOKO,1,11/26/2022 13:16,11/26/2022 13:16
LABERO JUNCTION,1,11/26/2022 13:16,11/26/2022 13:16
Labero Area,1,11/26/2022 13:16,11/26/2022 13:16
Sabon Zongo,1,11/26/2022 13:16,11/26/2022 13:16
ZONGO,1,11/26/2022 13:16,11/26/2022 13:16
Adwenbu,1,11/26/2022 13:16,11/26/2022 13:16
APPIAH DANKWAH,1,11/26/2022 13:16,11/26/2022 13:16
ALHAJI KPEDZE,1,11/26/2022 13:16,11/26/2022 13:16
Community Hospital,1,11/26/2022 13:16,11/26/2022 13:16
HAPPY DAYS,1,11/26/2022 13:16,11/26/2022 13:16
IBE,1,11/26/2022 13:16,11/26/2022 13:16
BANKU JUNCTION,1,11/26/2022 13:16,11/26/2022 13:16
TOWN COUNCIL LINE,1,11/26/2022 13:16,11/26/2022 13:16
COMPOUND 9,1,11/26/2022 13:16,11/26/2022 13:16
BRIGADE,1,11/26/2022 13:16,11/26/2022 13:16
