districtId, name
29,GBAWE
29,OLD BARRIER
28,18 JUNCTION
4,31ST
4,31ST JUNCTION
13,7 DAYS
13,A - LANG
4,A LOMOND JUNCTION
4,AAFIO LARTELEY CLOSE
4,AAYALOLO
4,AAYALOLO ROAD
4,AAYLOLO
17,ABAMAN
17,ABBASE
8,ABDWESE
13,ABEASE
9,ABEDE STREET
9,ABEDI PELE ST
15,ABEHENEASE
17,ABEHENEASE
4,ABEKA
25,ABEKA
15,ABENSU QUARTERS
17,ABENSU QUARTERS
13,ABGAJENA
13,ABLEKUMA
13,ABLEKUMA ABEASE
13,ABLEKUMA AGAPE
13,ABLEKUMA BLOCK FACTORY
13,ABLEKUMA CP
13,ABLEKUMA CP JOMA
13,ABLEKUMA CP JOMA ROAD
13,ABLEKUMA JUNCTION
13,ABLEKUMA NEWTOWN
2,ABLEKUMA NORTH MUNICIPAL AREA
3,ABLEKUMA WEST MUNICIPAL ASSEMBLY
13,ABLEKUMA- BLOCK FACTORY
13,ABLEKUMA- BORKORBORKOR
17,ABLORMAN
17,ABLORMAN STATION
8,ABODUSEI
25,ABOFU
14,ABOKOBI
14,ABOKOBI SCHOOL
23,ABOMA
17,ABOMAN
22,ABONA JUNCTION
4,ABORJWE
4,ABORTWE
1,ABOSSEY OKAI
4,ABOSSEY OKAI
25,ABRANTIE
17,ABROMAH
13,ABUYA AREA
13,ABUYA JUNCTION
13,ABUYA RESTAURANT JUNCTION
9,AC QUAYE
3,ACCOUNTANT GENERAL
4,ACCRA ACADAMY
11,ACCRA GIRLS
2,ACCRA STATION
17,ACHIAMAN
15,ACHIMOTA
25,ACHIMOTA
25,ACHIMOTA ABC
15,ACP
22,ACTION SCHOOL AREA
4,ADABRAKA
17,ADABRAKA
18,ADABRAKA
4,ADABRAKA OFFICIAL TOWN
29,ADAKOPE LUTA
8,ADAKORDZE
8,ADAKORDZI
2,ADAMAAME
2,ADAMAME
16,ADAMNANA
16,ADANSEMAN
16,ADANSEMAN NEW BORTIANOR
4,ADEDEKPO
4,ADENDENTAN
4,ADENKPO
4,ADENKPOR
22,ADENTA NEW SITE
22,ADENTA SDA AREA
22,ADENTA WEST
4,ADENUNOO ROAD
4,ADEPKO
13,ADINKRA STREET MAP ID 49
28,ADJEI KOJO TROTRO STATION
28,ADJEI-KOJO
17,ADJEIMAN
17,ADJEN KOTOKU
23,ADJORMA
23,ADJORMA ROUNDABOUT
23,ADOEMLI
13,ADU GYAMFI
13,ADU GYAMFI JUNCTION
13,ADU GYEMFI DOWN
13,ADU GYEMFI SIDE
17,ADUSA
17,ADUSAH QUARTERS
1,ADWENBU
4,ADWENBU
17,ADZEN KOTOKO
17,ADZEN KOTOKU
16,ADZIKPAKOPE
16,AFADI
13,AFARI CL
15,AFIAMAN
2,AFROPA
2,AFROPA AREA
2,AFROPA DOWN
17,AFUAMAN
13,AGAPE
29,AGAPE
13,AGAPE C.P
13,AGAPE CONTAINER
13,AGAPE DOWN
29,AGAPE DOWN
29,AGAPE GONSE
13,AGAPE JUNCTION
13,AGAPE MASALACHI
13,AGAPE STATION
13,AGAPE TARAZZO
13,AGAPE TARRAZO
13,AGAPE TOP
13,AGAPE TOWNSHIPS
13,AGAPE UPTOWN
4,AGBADO
4,AGBADO LONDON MARKET
13,AGBAJENA
9,AGBAJINA
16,AGBAZO
8,AGBEKO GBETI KOPE
13,AGBEVE
23,AGBLEZA
23,AGBLEZAA
17,AGBODZI
14,AGBOGBA
14,AGBOGBA2
4,AGBOGBLOSHIE
17,AGBOM NO.1
17,AGBON
29,AGBOZUME
3,AGEGE
3,AGEGE DOWN
3,AGEGE LAST STOP
3,AGEGE MAMPONSE
22,AGLOW SCHOOL AREA
1,AGOGO
1,AGOGO AREA
