"id","name","electoralAreaId","districtId","deleted","createdAt","updatedAt"
27,BOTOKU,3,17,0,2023-05-23 09:35:08.502,2023-05-23 09:35:08.502
28,NEW OSOFOIMAN,3,17,0,2023-05-23 09:35:08.502,2023-05-23 09:35:08.502
29,OKAIMAN,3,17,0,2023-05-23 09:35:08.502,2023-05-23 09:35:08.502
30,MAYERA WEST,3,17,0,2023-05-23 09:35:08.502,2023-05-23 09:35:08.502
31,MAYERA,3,17,0,2023-05-23 09:35:08.502,2023-05-23 09:35:08.502
32,OSONODOMPE,3,17,0,2023-05-23 09:35:08.502,2023-05-23 09:35:08.502
33,ODUMASE,4,17,0,2023-05-23 09:35:27.216,2023-05-23 09:35:27.216
34,OTOAMINA,4,17,0,2023-05-23 09:35:27.216,2023-05-23 09:35:27.216
35,MPEMEHUASEM,4,17,0,2023-05-23 09:35:27.216,2023-05-23 09:35:27.216
36,OKANTSURU,4,17,0,2023-05-23 09:35:27.216,2023-05-23 09:35:27.216
37,OTWEAMA,4,17,0,2023-05-23 09:35:27.216,2023-05-23 09:35:27.216
38,KWAKU OBIRI,4,17,0,2023-05-23 09:35:27.216,2023-05-23 09:35:27.216
39,ODUMASE- SAMSAM,4,17,0,2023-05-23 09:35:27.216,2023-05-23 09:35:27.216
40,GONSE,4,17,0,2023-05-23 09:35:27.216,2023-05-23 09:35:27.216
41,SAMSAM,5,17,0,2023-05-23 09:35:48.135,2023-05-23 09:35:48.135
42,KORLEMAN,5,17,0,2023-05-23 09:35:48.135,2023-05-23 09:35:48.135
43,MANCHIE,5,17,0,2023-05-23 09:35:48.135,2023-05-23 09:35:48.135
44,SHIKPONTELE,6,17,0,2023-05-23 09:36:29.599,2023-05-23 09:36:29.599
45,MECEDONIA,6,17,0,2023-05-23 09:36:29.599,2023-05-23 09:36:29.599
46,OPAH,6,17,0,2023-05-23 09:36:29.599,2023-05-23 09:36:29.599
47,OPAH ALAFIA,6,17,0,2023-05-23 09:36:29.599,2023-05-23 09:36:29.599
48,ABLORMAN,6,17,0,2023-05-23 09:36:29.599,2023-05-23 09:36:29.599
49,FAASE,6,17,0,2023-05-23 09:36:29.599,2023-05-23 09:36:29.599
50,SARPEIMAN,6,17,0,2023-05-23 09:36:29.599,2023-05-23 09:36:29.599
51,ODIAHENKA,6,17,0,2023-05-23 09:36:29.599,2023-05-23 09:36:29.599
52,KPOBOKOPE,6,17,0,2023-05-23 09:36:29.599,2023-05-23 09:36:29.599
53,GATSIKOPE,7,17,0,2023-05-23 09:36:38.402,2023-05-23 09:36:38.402
54,HAVORKOPE,7,17,0,2023-05-23 09:36:38.402,2023-05-23 09:36:38.402
55,DAMAX 1,7,17,0,2023-05-23 09:36:38.402,2023-05-23 09:36:38.402
56,DAMAX 2,7,17,0,2023-05-23 09:36:38.402,2023-05-23 09:36:38.402
57,SATELLITE A,7,17,0,2023-05-23 09:36:38.402,2023-05-23 09:36:38.402
58,SAATELLITE B,7,17,0,2023-05-23 09:36:38.402,2023-05-23 09:36:38.402
59,KUTUNSE A,7,17,0,2023-05-23 09:36:38.402,2023-05-23 09:36:38.402
60,KUTUNSE B,7,17,0,2023-05-23 09:36:38.402,2023-05-23 09:36:38.402
61,TREBA A,7,17,0,2023-05-23 09:36:38.402,2023-05-23 09:36:38.402
62,TREBA B,7,17,0,2023-05-23 09:36:38.402,2023-05-23 09:36:38.402
63,KPOBIMAN,7,17,0,2023-05-23 09:36:38.402,2023-05-23 09:36:38.402
64,NYABEMAN,7,17,0,2023-05-23 09:36:38.402,2023-05-23 09:36:38.402
65,KPIKODZI,7,17,0,2023-05-23 09:36:38.402,2023-05-23 09:36:38.402
66,KPOBIMAN HEARTS PARK,7,17,0,2023-05-23 09:36:38.402,2023-05-23 09:36:38.402
67,KPOBIMAN LIGHT HOUSE,7,17,0,2023-05-23 09:36:38.402,2023-05-23 09:36:38.402
68,GRACE COMMUNITY,7,17,0,2023-05-23 09:36:38.402,2023-05-23 09:36:38.402
69,KOANS ESTATE,7,17,0,2023-05-23 09:36:38.402,2023-05-23 09:36:38.402
70,MEDIE,8,17,0,2023-05-23 09:37:20.399,2023-05-23 09:37:20.399
71,ABAANEKE,8,17,0,2023-05-23 09:37:20.399,2023-05-23 09:37:20.399
72,LORD KRISHNA,8,17,0,2023-05-23 09:37:20.399,2023-05-23 09:37:20.399
73,MEDIE ZONGO,8,17,0,2023-05-23 09:37:20.399,2023-05-23 09:37:20.399
74,MEDIE KITIWA,8,17,0,2023-05-23 09:37:20.399,2023-05-23 09:37:20.399
75,ABAAMAN,9,17,0,2023-05-23 09:37:31.749,2023-05-23 09:37:31.749
76,PAPASE NEW JELUSALEM,9,17,0,2023-05-23 09:37:31.749,2023-05-23 09:37:31.749
77,PAPASE,9,17,0,2023-05-23 09:37:31.749,2023-05-23 09:37:31.749
78,EHUKOPE,9,17,0,2023-05-23 09:37:31.749,2023-05-23 09:37:31.749
79,AHIABU SOLDIER LINE,9,17,0,2023-05-23 09:37:31.749,2023-05-23 09:37:31.749
80,AHIABUKOPE,9,17,0,2023-05-23 09:37:31.749,2023-05-23 09:37:31.749
81,GAKOPE,9,17,0,2023-05-23 09:37:31.749,2023-05-23 09:37:31.749
82,AKOTOSHIE NO 1,9,17,0,2023-05-23 09:37:31.749,2023-05-23 09:37:31.749
83,AKOTOSHIE NO 2,9,17,0,2023-05-23 09:37:31.749,2023-05-23 09:37:31.749
84,AKOTOSHIE NO 2 YELLOW HOUSE,9,17,0,2023-05-23 09:37:31.749,2023-05-23 09:37:31.749
85,TORNORGBEKOPE,9,17,0,2023-05-23 09:37:31.749,2023-05-23 09:37:31.749
86,ABAAMAN MISSION,9,17,0,2023-05-23 09:37:31.749,2023-05-23 09:37:31.749
87,AMERICAN DOWN,9,17,0,2023-05-23 09:37:31.749,2023-05-23 09:37:31.749
88,HALLELUYA COMMUNITY,9,17,0,2023-05-23 09:37:31.749,2023-05-23 09:37:31.749
89,SAVIOUR COMMUNITY,9,17,0,2023-05-23 09:37:31.749,2023-05-23 09:37:31.749
90,PAPASE ISREAL,9,17,0,2023-05-23 09:37:31.749,2023-05-23 09:37:31.749
91,PAPASE ZONGO,9,17,0,2023-05-23 09:37:31.749,2023-05-23 09:37:31.749
