"id","name","deleted","createdAt","updatedAt","districtId"
1,AMASAMAN,0,2023-04-13 07:59:33.588,2023-04-13 07:59:33.588,17
13,AYIKAI-DOBLO,0,2023-04-13 07:59:33.588,2023-04-13 07:59:33.588,17
14,OKUSHIEBIADE,0,2023-04-13 07:59:33.588,2023-04-13 07:59:33.588,17
15,NSAKINA,0,2023-04-13 07:59:33.588,2023-04-13 07:59:33.588,17
16,MANHEAN,0,2023-04-13 07:59:33.588,2023-04-13 07:59:33.588,17
17,KOTOKU,0,2023-04-13 07:59:33.588,2023-04-13 07:59:33.588,17
34,DJAMAN,0,2023-05-25 14:26:52.582,2023-05-25 14:26:52.582,29
35,GBAWE EAST,0,2023-05-25 14:26:52.582,2023-05-25 14:26:52.582,29
36,GBAWE WEST,0,2023-05-25 14:26:52.582,2023-05-25 14:26:52.582,29
37,GONSE,0,2023-05-25 14:26:52.582,2023-05-25 14:26:52.582,29
38,MALLAM EAST,0,2023-05-25 14:26:52.582,2023-05-25 14:26:52.582,29
39,MALLAM WEST,0,2023-05-25 14:26:52.582,2023-05-25 14:26:52.582,29
40,MC CARTHY HILL NORTH,0,2023-05-25 14:26:52.582,2023-05-25 14:26:52.582,29
41,MC CARTHY HILL SOUTH,0,2023-05-25 14:26:52.582,2023-05-25 14:26:52.582,29
42,NEW GBAWE,0,2023-05-25 14:26:52.582,2023-05-25 14:26:52.582,29
43,NEW WEIJA EAST,0,2023-05-25 14:26:52.582,2023-05-25 14:26:52.582,29
44,NEW WEIJA WEST,0,2023-05-25 14:26:52.582,2023-05-25 14:26:52.582,29
45,OBLOGO,0,2023-05-25 14:26:52.582,2023-05-25 14:26:52.582,29
46,TETEGU,0,2023-05-25 14:26:52.582,2023-05-25 14:26:52.582,29
47,WEIJA,0,2023-05-25 14:26:52.582,2023-05-25 14:26:52.582,29
71,AWOSHIE,0,2023-05-25 15:32:49.498,2023-05-25 15:32:49.498,2
73,DARKUMAN WEST,0,2023-05-25 15:32:49.498,2023-05-25 15:32:49.498,2
74,KWASHIEMAN,0,2023-05-25 15:32:49.498,2023-05-25 15:32:49.498,2
75,ODORKOR,0,2023-05-25 15:32:49.498,2023-05-25 15:32:49.498,2
76,OTATEN,0,2023-05-25 15:32:49.498,2023-05-25 15:32:49.498,2
77,SAKAMAN,0,2023-05-25 15:32:49.498,2023-05-25 15:32:49.498,2
72,DARKUMAN EAST,0,2023-05-25 15:32:49.498,2023-05-25 15:32:49.498,2
78,MANSRALOR,0,2023-05-25 15:59:08.707,2023-05-25 15:59:08.707,3
79,MAMPONG OKAI,0,2023-05-25 15:59:08.707,2023-05-25 15:59:08.707,3
80,OTOJOR,0,2023-05-25 15:59:08.707,2023-05-25 15:59:08.707,3
81,MAMPONSE AGEGE/SHIABU,0,2023-05-25 15:59:08.707,2023-05-25 15:59:08.707,3
82,ZODIAC/AKOKORFOTO,0,2023-05-25 15:59:08.707,2023-05-25 15:59:08.707,3
83,ORISCO/NASARAWA,0,2023-05-25 15:59:08.707,2023-05-25 15:59:08.707,3
84,GA MANYE,0,2023-05-25 15:59:08.707,2023-05-25 15:59:08.707,3
85,OPETE KWEI,0,2023-05-25 15:59:08.707,2023-05-25 15:59:08.707,3
86,GBEBU MPOASE,0,2023-05-25 15:59:08.707,2023-05-25 15:59:08.707,3
87,GBEBU /GBEGBEYISE GLEFE,0,2023-05-25 15:59:08.707,2023-05-25 15:59:08.707,3
88,BAATSONAA,0,2023-05-25 16:13:31.915,2023-05-25 16:13:31.915,20
89,ADDOGONNO,0,2023-05-25 16:13:31.915,2023-05-25 16:13:31.915,20
90,SOOKPOTI,0,2023-05-25 16:13:31.915,2023-05-25 16:13:31.915,20
91,MUKWEIJOR,0,2023-05-25 16:13:31.915,2023-05-25 16:13:31.915,20
92,BLEKESE EAST,0,2023-05-25 16:13:31.915,2023-05-25 16:13:31.915,20
93,BLEKESE WEST,0,2023-05-25 16:13:31.915,2023-05-25 16:13:31.915,20
94,NKPOR,0,2023-05-25 16:13:31.915,2023-05-25 16:13:31.915,20
95,NII ODAI ABLADE,0,2023-05-25 16:13:31.915,2023-05-25 16:13:31.915,20
96,NII LAWEH,0,2023-05-25 16:13:31.915,2023-05-25 16:13:31.915,20
97,ANTWEREGONNO,0,2023-05-25 16:13:31.915,2023-05-25 16:13:31.915,20
98,OKPOIGONNO,0,2023-05-25 16:13:31.915,2023-05-25 16:13:31.915,20
99,KLOWOEKOONAA,0,2023-05-25 16:13:31.915,2023-05-25 16:13:31.915,20
100,ADENTA WEST,0,2023-05-25 16:29:57.407,2023-05-25 16:29:57.407,22
101,AYIMENSA-KWEIMAN,0,2023-05-25 16:29:57.407,2023-05-25 16:29:57.407,22
102,DANFA ELECTORAL AREA,0,2023-05-25 16:29:57.407,2023-05-25 16:29:57.407,22
103,LA NKWANTANANG EAST,0,2023-05-25 16:29:57.407,2023-05-25 16:29:57.407,22
104,LA NKWANTANANG WEST,0,2023-05-25 16:29:57.407,2023-05-25 16:29:57.407,22
105,MADINA WEST,0,2023-05-25 16:29:57.407,2023-05-25 16:29:57.407,22
106,NORTH LEGON,0,2023-05-25 16:29:57.407,2023-05-25 16:29:57.407,22
107,OKATABAN,0,2023-05-25 16:29:57.407,2023-05-25 16:29:57.407,22
108,OYARIFA,0,2023-05-25 16:29:57.407,2023-05-25 16:29:57.407,22
109,PANTANG,0,2023-05-25 16:29:57.407,2023-05-25 16:29:57.407,22
110,SOCIAL WELFARE NORTH,0,2023-05-25 16:29:57.407,2023-05-25 16:29:57.407,22
111,SOCIAL WELFARE SOUTH,0,2023-05-25 16:29:57.407,2023-05-25 16:29:57.407,22
112,TATAANA NORTH,0,2023-05-25 16:29:57.407,2023-05-25 16:29:57.407,22
113,TATAANA SOUTH,0,2023-05-25 16:29:57.407,2023-05-25 16:29:57.407,22
114,TEIMAN,0,2023-05-25 16:29:57.407,2023-05-25 16:29:57.407,22
115,QUAYE MENSAH,0,2023-05-26 10:48:02.335,2023-05-26 10:48:02.335,9
116,ALAJO CENTRAL,0,2023-05-26 10:48:02.335,2023-05-26 10:48:02.335,9
117,ALAJO NORTH,0,2023-05-26 10:48:02.335,2023-05-26 10:48:02.335,9
118,PIG FARM,0,2023-05-26 10:48:02.335,2023-05-26 10:48:02.335,9
119,KOKOMLEMLE WEST,0,2023-05-26 10:48:02.335,2023-05-26 10:48:02.335,9
120,KOKOMLEMLE EAST,0,2023-05-26 10:48:02.335,2023-05-26 10:48:02.335,9
121,AYIDIKI,0,2023-05-26 10:48:02.335,2023-05-26 10:48:02.335,9
122,NKANSAH GYAN,0,2023-05-26 10:48:02.335,2023-05-26 10:48:02.335,9
123,NII NORTEY AGBO,0,2023-05-26 10:48:02.335,2023-05-26 10:48:02.335,9
124,AKOA NDOR,0,2023-05-26 10:48:02.335,2023-05-26 10:48:02.335,9
125,MALLAM ATTAH,0,2023-05-26 10:48:02.335,2023-05-26 10:48:02.335,9
126,KOTOBABI,0,2023-05-26 10:48:02.335,2023-05-26 10:48:02.335,9
127,A ROAD,0,2023-05-26 10:54:55.579,2023-05-26 10:54:55.579,27
128,ASHIBOI,0,2023-05-26 10:54:55.579,2023-05-26 10:54:55.579,27
129,BANKUMAN,0,2023-05-26 10:54:55.579,2023-05-26 10:54:55.579,27
130,BLACK CAT,0,2023-05-26 10:54:55.579,2023-05-26 10:54:55.579,27
131,DADEAGBO,0,2023-05-26 10:54:55.579,2023-05-26 10:54:55.579,27
132,DZATAGON,0,2023-05-26 10:54:55.579,2023-05-26 10:54:55.579,27
20,NII ANKRAMAN,0,2023-04-13 08:25:15.427,2023-04-13 08:25:15.427,15
21,TANTRA,0,2023-04-13 08:25:15.427,2023-04-13 08:25:15.427,15
22,SOUTH OFANKOR,0,2023-04-13 08:25:15.427,2023-04-13 08:25:15.427,15
23,NORTH OFANKOR,0,2023-04-13 08:25:15.427,2023-04-13 08:25:15.427,15
24,ASOFAN,0,2023-04-13 08:25:15.427,2023-04-13 08:25:15.427,15
25,OMANJOR,0,2023-04-13 08:25:15.427,2023-04-13 08:25:15.427,15
